compressor_diameter_mm,compressor_blade_count,combustor_length_mm,combustor_outer_diameter_mm,combustor_inner_diameter_mm,combustor_liner_thickness_mm,combustor_num_injectors,turbine_blade_count,turbine_hub_tip_ratio,nozzle_exit_diameter_mm,rpm,lattice_cell_size_mm,lattice_density,compressor_pressure_ratio,compressor_efficiency,turbine_inlet_temp_K,turbine_efficiency,mass_flow_kg_s,inlet_pressure_recovery,combustor_pressure_drop_fraction,combustion_efficiency,nozzle_discharge_coefficient,nozzle_isentropic_efficiency,combustor_air_fuel_ratio,feasible,thrust_error_N,tsfc_kg_N_s,thermal_efficiency,fuel_flow_kg_s,compressor_power_W,thrust_to_weight,thrust_N_corrected,exhaust_temp_K_corrected,exhaust_velocity_m_s_corrected,total_mass_kg
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.524165214609513,0.8427594224226602,1076.8500330460702,0.861839311642216,0.20939595378329268,0.9756986207900424,0.04926648874122607,0.9610350887900148,0.9729602679312785,0.9455360784216915,,True,0.051107319642042626,4.075505034987542e-05,0.13242742474433844,0.004117917816448168,21790.188500173677,8.142732461414186,100.05110731964204,887.8956964592937,468.5410644549051,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.840360478016541,0.8343931641653932,882.1307777358745,0.873552826189354,0.23130957374145794,0.9804866643612878,0.044543335837626354,0.9656107348315276,0.9740492609830875,0.9335118162815301,,True,1.2692509729529888,2.3197020407464464e-05,0.17218102863889861,0.0022080494157673894,45695.67319290099,7.7229738332569635,98.73074902704701,632.1568810345865,421.89950306997156,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,3.4632215037329885,0.8425675310863743,930.9522561094094,0.8699653735469133,0.2142296612623953,0.9770264959527382,0.04231034671901057,0.9569753329259904,0.9778505939200661,0.9461044448326486,,True,2.901185739023532,3.028253369903614e-05,0.16582299330097097,0.002932944748798932,31370.963418143503,7.785880151916864,97.09881426097647,714.7237675630846,446.8763764800741,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.0424653326652864,0.8398301876444658,1109.3526349555104,0.8576532190305232,0.22506643968453438,0.9756986267347741,0.04023215397721908,0.9475964239764043,0.9709025817442638,0.9581856427453006,,True,0.3788829015394697,4.8603114478590096e-05,0.1035032006370162,0.004846991299562434,17566.827013989536,8.128133875363638,99.62111709846053,955.6125199612989,433.62122606682635,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,3.8159213144556428,0.8373364269707894,938.3153601764932,0.8766834178744141,0.21955546807494092,0.9738544444398614,0.03071403637045547,0.9612454244936264,0.9745017542167406,0.9452207478596122,,True,2.790630943866063,2.8907003951606315e-05,0.176266229981067,0.0030087889633931305,35394.1798784715,8.214516475392282,102.79063094386606,703.0527117001839,461.10163392137656,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,3.662424721017027,0.8328523548753584,925.3935840085526,0.8707139466991209,0.21741988345295263,0.9808082670057132,0.044641333145537886,0.9635300918865572,0.9829219506701392,0.9378104165201937,,True,1.600950437636243,2.9312601945212052e-05,0.1669758422944231,0.002887432292890154,33946.064685056095,7.864444784522638,98.39904956236376,703.281564064893,445.8005968494373,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.2758502795564985,0.8478043982243791,1058.337666897802,0.8683182074227682,0.21565666930931832,0.9809122718019412,0.04250265354380653,0.9525963083234608,0.9788754965007613,0.9577294961356748,,True,0.9954315457529361,4.218870354427918e-05,0.12157297132840728,0.004214509190408323,19510.271243371742,8.068482363953636,99.00456845424706,888.7915173490661,449.6330903162367,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.62119241937015,0.8457252535497173,935.1173934301291,0.8582874947406225,0.2094819180190162,0.9793702463279351,0.043306813130733174,0.9470669304558252,0.9753875721006409,0.9383204558108232,,True,2.2688015351917983,2.624712831855124e-05,0.18069207806375157,0.002586478214851603,39348.75146928819,7.762956874740435,97.7311984648082,677.803918551871,460.78849550600967,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.540496272301965,0.8498856017105583,1035.9930439524735,0.8793466099927699,0.2155598932503581,0.9801931973258737,0.045029789768128034,0.9558408878041649,0.9729622421071631,0.9460492698779821,,True,1.4603896201890194,3.936459749411888e-05,0.1380592814472779,0.004021485986953281,22420.04701053481,8.262500294143003,101.46038962018902,849.4469120607623,462.28316959681524,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.658538624650797,0.8232602061331089,929.0035304690874,0.8772868205779456,0.2174157098096025,0.9796431987415293,0.04319873021714485,0.9608970023551472,0.9748507464675991,0.938424383542192,,True,0.022409800092916043,2.5144858298734936e-05,0.18162303446668387,0.0024756537791039276,42226.132296637785,7.897317575207163,99.97759019990708,669.5451330107313,454.15525351703064,1.228910093710441
