compressor_pressure_ratio,compressor_efficiency,compressor_diameter_mm,compressor_blade_count,combustor_length_mm,combustor_outer_diameter_mm,combustor_inner_diameter_mm,combustor_liner_thickness_mm,combustor_num_injectors,combustor_air_fuel_ratio,turbine_inlet_temp_K,turbine_efficiency,turbine_blade_count,turbine_hub_tip_ratio,nozzle_exit_diameter_mm,mass_flow_kg_s,rpm,lattice_cell_size_mm,lattice_density,thrust_N,specific_thrust,fuel_flow_kg_s,tsfc_kg_N_s,exhaust_velocity_m_s,exhaust_temp_K,compressor_power_W,thermal_efficiency,total_mass_kg,thrust_to_weight,lattice_surface_area_ratio,is_valid,n_warnings
2.000235985,0.8177729099,140.2024729,17,122.9931934,115.5373962,41.69516078,1.564758214,8,66.71537715,1100.481899,0.803040699,21,0.7135247608,53.28206366,0.2289704666,61864.52493,9.010320009,0.2278395746,95.07803974,415.2414988,0.004890196101,5.14E-05,406.5584978,959.6102119,17761.68265,0.09191333742,0.7233748334,13.39824196,2.841759362,TRUE,1
4.100440618,0.7152403649,64.08000914,9,105.5171243,140.0223737,70.65601786,1.872741421,5,56.81229662,1033.458277,0.7950134609,20,0.7234400514,31.2270756,0.2257631755,86891.02654,9.101615453,0.3565055121,95.07910488,421.1453204,0.003569304253,3.75E-05,414.5906633,783.5384385,45389.8158,0.1284170181,0.6008159146,16.13149616,3.034758268,TRUE,0
2.859833034,0.7914102147,141.7071585,15,96.35174882,96.80517365,80.68906257,1.379444938,9,59.12377182,876.4537178,0.8329275759,18,0.7232371539,56.60088944,0.2631747892,103359.3264,10.44053961,0.348297817,95.08146351,361.2863671,0.003500465716,3.68E-05,356.5440053,708.9511526,33719.83346,0.1126120118,0.6614870387,14.6522902,3.022446725,TRUE,0
4.760176526,0.784852114,70.48779055,20,134.1521106,114.6564896,44.61243014,1.462709294,5,74.04511145,1092.759383,0.8326195527,22,0.7297675781,70.85616128,0.1741123504,101895.926,9.506719813,0.1501163355,95.08179643,546.0944972,0.00302607142,3.18E-05,536.7655163,785.9293832,36087.41849,0.1961120868,0.6025644746,16.08514009,2.725174503,TRUE,1
4.975253467,0.7042716823,144.32449,15,72.72210142,114.9118039,41.05556799,1.455883263,8,65.31941527,1089.959805,0.8716211013,22,0.6763078589,56.0558398,0.1896130241,61707.89735,10.82857459,0.4021442798,95.0829756,501.4580409,0.003105132915,3.27E-05,493.3783981,775.1634472,45343.92231,0.175672689,0.6578788151,14.73288692,3.10321642,TRUE,0
3.157328785,0.7192063587,145.060367,10,138.8293451,159.4917571,65.82048997,1.528241173,6,51.10944764,981.5746045,0.7625793119,21,0.7739134905,69.95670529,0.2650210431,144807.3776,4.161390874,0.2622916546,95.08334329,358.7765793,0.004125088204,4.34E-05,353.2777633,791.0032347,41497.34121,0.09468671627,0.9804041501,9.886220565,2.893437482,TRUE,0
3.716572111,0.8154221199,68.06759487,11,83.43825673,146.5810238,45.04833581,1.002850505,8,56.04129902,963.7483597,0.766084699,18,0.7224311099,38.7111674,0.2277120871,108835.7352,11.32120597,0.3793413351,95.0858634,417.5705585,0.003391969529,3.57E-05,411.4417755,748.6256832,36805.37218,0.1341139477,0.5656623956,17.13521818,3.069012003,TRUE,0
2.22364614,0.8188639222,82.59576613,9,112.6620554,132.3849299,81.99491473,1.473218627,5,72.82598236,1158.047739,0.8629117044,17,0.7145322355,39.82114149,0.1974966505,133225.8283,7.495132946,0.1592665294,95.08677564,481.4601937,0.004480777678,4.71E-05,470.7792176,980.5837093,17914.95766,0.1161677443,0.5653528437,17.14476483,2.738899794,TRUE,1
3.618882651,0.7261374737,114.085392,12,119.1199101,155.1891953,79.4505908,1.222658376,10,73.20590307,1069.995716,0.8762665365,17,0.7386339983,60.69348016,0.1942066207,122781.6056,7.499063429,0.4393145208,95.08710905,489.618267,0.003413925719,3.59E-05,481.1600351,813.8423479,34395.04113,0.1558327278,0.9199099514,10.53676561,3.158971781,TRUE,0
3.102256288,0.7894718323,106.0698817,19,65.37007015,98.42381764,77.4174762,1.004869916,4,60.48343958,823.1907402,0.8661529778,17,0.6218174062,38.28619071,0.2780014687,137636.7669,11.26872239,0.2774682037,95.08926023,342.0458917,0.003169890732,3.33E-05,338.1897091,650.9691247,38945.26216,0.1179638976,0.4531371987,21.39108167,2.916202305,TRUE,0
